time	V(vout)	I(L1)
1.504094086601352e-05	1.120618e+00	2.267295e+00
1.504134040219601e-05	1.120676e+00	2.267283e+00
1.504204032631371e-05	1.120778e+00	2.267261e+00
1.504344017454913e-05	1.120983e+00	2.267215e+00
1.504483429603489e-05	1.121186e+00	2.267170e+00
1.504614117251341e-05	1.121377e+00	2.267128e+00
1.504757234173642e-05	1.121586e+00	2.267081e+00
1.504892465501322e-05	1.121783e+00	2.267036e+00
1.505035724094410e-05	1.121992e+00	2.266989e+00
1.505184796649397e-05	1.122210e+00	2.266940e+00
1.505357759366418e-05	1.122462e+00	2.266882e+00
1.505570671589128e-05	1.122773e+00	2.266812e+00
1.505849732894351e-05	1.123180e+00	2.266719e+00
1.506219666616459e-05	1.123720e+00	2.266596e+00
1.506801907953786e-05	1.124569e+00	2.266402e+00
1.507748383614331e-05	1.125950e+00	2.266086e+00
1.509641334935420e-05	1.128710e+00	2.265453e+00
1.511451795668589e-05	1.131350e+00	2.264846e+00
1.514164847852718e-05	1.135303e+00	2.263935e+00
1.517175679350280e-05	1.139687e+00	2.262924e+00
1.522705275419358e-05	1.147730e+00	2.261062e+00
1.530655582421526e-05	1.159277e+00	2.258378e+00
1.546556196425863e-05	1.182298e+00	2.252978e+00
1.578357424434536e-05	1.228061e+00	2.242062e+00
1.841959880451882e-05	1.596291e+00	2.147163e+00
1.901000000000000e-05	1.676352e+00	2.124992e+00
1.902000000000000e-05	1.677696e+00	2.124612e+00
1.904000000000000e-05	1.680372e+00	2.123847e+00
1.908000000000000e-05	1.685720e+00	2.122318e+00
1.916000000000000e-05	1.696397e+00	2.119252e+00
1.932000000000000e-05	1.717674e+00	2.113094e+00
1.964000000000000e-05	1.760084e+00	2.100727e+00
1.965000000000000e-05	1.761405e+00	2.100339e+00
1.967000000000000e-05	1.764042e+00	2.099561e+00
1.971000000000000e-05	1.769309e+00	2.098004e+00
1.985000000000000e-05	1.787713e+00	2.092542e+00
1.988999999999999e-05	1.792960e+00	2.090978e+00
1.993000000000001e-05	1.798203e+00	2.089412e+00
1.994000000000002e-05	1.799512e+00	2.089020e+00
1.998999999999997e-05	1.806055e+00	2.087059e+00
1.999999999999997e-05	1.807363e+00	2.086667e+00
2.001000000000000e-05	1.808670e+00	2.086274e+00
2.001004399841940e-05	1.808676e+00	2.086273e+00
2.001013199525820e-05	1.808687e+00	2.086269e+00
2.001022757411030e-05	1.808700e+00	2.086266e+00
2.001032032242806e-05	1.808712e+00	2.086262e+00
2.001050581906358e-05	1.808736e+00	2.086255e+00
2.001087681233460e-05	1.808785e+00	2.086240e+00
2.001153821680064e-05	1.808871e+00	2.086214e+00
2.001244656723976e-05	1.808990e+00	2.086178e+00
2.001377163441166e-05	1.809163e+00	2.086125e+00
2.001555149590841e-05	1.809396e+00	2.086056e+00
2.001703606607642e-05	1.809590e+00	2.086008e+00
2.001821197382518e-05	1.809743e+00	2.085989e+00
2.001844909533704e-05	1.809774e+00	2.085993e+00
2.001892333836075e-05	1.809836e+00	2.086014e+00
2.001948729763274e-05	1.809910e+00	2.086059e+00
2.001969232525159e-05	1.809937e+00	2.086080e+00
2.002000000000000e-05	1.809977e+00	2.086118e+00
2.002006719335007e-05	1.809986e+00	2.086127e+00
2.002009625409992e-05	1.809990e+00	2.086131e+00
2.002011595665007e-05	1.809992e+00	2.086133e+00
2.002012330894291e-05	1.809993e+00	2.086134e+00
2.002013005481379e-05	1.809994e+00	2.086135e+00
2.002013246902236e-05	1.809994e+00	2.086136e+00
2.002013410534922e-05	1.809995e+00	2.086136e+00
2.002013547943959e-05	1.809995e+00	2.086136e+00
2.002013696290156e-05	1.809995e+00	2.086136e+00
2.002013955793663e-05	1.809995e+00	2.086137e+00
2.002014474800676e-05	1.809996e+00	2.086138e+00
2.002015512814702e-05	1.809997e+00	2.086139e+00
2.002017588842756e-05	1.810000e+00	2.086142e+00
2.002021740898862e-05	1.810005e+00	2.086149e+00
2.002026847278208e-05	1.810012e+00	2.086158e+00
2.002031771898196e-05	1.810019e+00	2.086166e+00
2.002036702787345e-05	1.810025e+00	2.086175e+00
2.002043524648584e-05	1.810034e+00	2.086187e+00
2.002053679895819e-05	1.810047e+00	2.086205e+00
2.002068131533135e-05	1.810066e+00	2.086231e+00
2.002089763026273e-05	1.810094e+00	2.086272e+00
2.002123533917527e-05	1.810138e+00	2.086336e+00
2.002184879793283e-05	1.810219e+00	2.086457e+00
2.002279491054113e-05	1.810342e+00	2.086651e+00
2.002332041566438e-05	1.810411e+00	2.086763e+00
2.002365515977393e-05	1.810455e+00	2.086836e+00
2.002399434428163e-05	1.810499e+00	2.086910e+00
2.002414762803528e-05	1.810519e+00	2.086944e+00
2.002440394857701e-05	1.810553e+00	2.087001e+00
2.002480885658919e-05	1.810606e+00	2.087090e+00
2.002524757458232e-05	1.810663e+00	2.087187e+00
2.002591433535818e-05	1.810750e+00	2.087334e+00
2.002659458670040e-05	1.810839e+00	2.087485e+00
2.002763139130139e-05	1.810975e+00	2.087714e+00
